"name","Measure","geo_type_name","geo_entity_id","geo_entity_name","data_valuemessage","avg_Rentprice"
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",410,"Rockaways",1.4,1971.04347826087
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",502,"Stapleton - St. George",1.3,2245
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",504,"South Beach - Tottenville",1.1,2390
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",102,"Northeast Bronx",3.2,1688.42857142857
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",104,"Pelham - Throgs Neck",3.2,1627.22222222222
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",106,"High Bridge - Morrisania",3.6,1961
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",201,"Greenpoint",3.5,3339.96
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",203,"Bedford Stuyvesant - Crown Heights",3,2216.8
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",205,"Sunset Park",3.2,2145.12
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",207,"East Flatbush - Flatbush",2.8,2114.84
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",209,"Bensonhurst - Bay Ridge",2.7,2194
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",211,"Williamsburg - Bushwick",3.1,1976.83333333333
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",302,"Central Harlem - Morningside Heights",4.2,2737.28
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",304,"Upper West Side",4,3442.17391304348
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",306,"Chelsea - Clinton",4.6,3680.68
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",308,"Greenwich Village - SoHo",4,4011.41666666667
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",310,"Lower Manhattan",4.2,3503.16666666667
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",402,"West Queens",3.4,2005.36
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",404,"Bayside - Little Neck",2.5,2005.36
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",406,"Fresh Meadows",2.3,2032.29166666667
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",408,"Jamaica",2.4,1801.04
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",410,"Rockaways",2,1971.04347826087
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",502,"Stapleton - St. George",2.3,2245
"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",504,"South Beach - Tottenville",2.2,2390
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",102,"Northeast Bronx",33.8,1688.42857142857
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",104,"Pelham - Throgs Neck",24.9,1627.22222222222
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",106,"High Bridge - Morrisania",78,1961
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",201,"Greenpoint",18.9,3339.96
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",203,"Bedford Stuyvesant - Crown Heights",31.7,2216.8
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",205,"Sunset Park",13.4,2145.12
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",207,"East Flatbush - Flatbush",33.5,2114.84
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",209,"Bensonhurst - Bay Ridge",26.5,2194
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",211,"Williamsburg - Bushwick",27.8,1976.83333333333
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",302,"Central Harlem - Morningside Heights",82.1,2737.28
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",304,"Upper West Side",247.9,3442.17391304348
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",306,"Chelsea - Clinton",204.8,3680.68
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",308,"Greenwich Village - SoHo",132.5,4011.41666666667
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",310,"Lower Manhattan",118.7,3503.16666666667
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",402,"West Queens",24.6,2005.36
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",404,"Bayside - Little Neck",10.4,2005.36
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",406,"Fresh Meadows",15.3,2032.29166666667
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",408,"Jamaica",13.2,1801.04
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",410,"Rockaways",6.1,1971.04347826087
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",502,"Stapleton - St. George",4.7,2245
"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",504,"South Beach - Tottenville",2,2390
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",102,"Northeast Bronx",0.3,1688.42857142857
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",104,"Pelham - Throgs Neck",0.5,1627.22222222222
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",106,"High Bridge - Morrisania",2.4,1961
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",201,"Greenpoint",0.1,3339.96
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",203,"Bedford Stuyvesant - Crown Heights",0.1,2216.8
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",205,"Sunset Park",0,2145.12
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",207,"East Flatbush - Flatbush",0.3,2114.84
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",209,"Bensonhurst - Bay Ridge",0.2,2194
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",211,"Williamsburg - Bushwick",0.1,1976.83333333333
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",302,"Central Harlem - Morningside Heights",2,2737.28
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",304,"Upper West Side",11.4,3442.17391304348
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",306,"Chelsea - Clinton",7.7,3680.68
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",308,"Greenwich Village - SoHo",4.1,4011.41666666667
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",310,"Lower Manhattan",1.7,3503.16666666667
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",402,"West Queens",0.3,2005.36
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",404,"Bayside - Little Neck",0.2,2005.36
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",406,"Fresh Meadows",0.5,2032.29166666667
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",408,"Jamaica",0.1,1801.04
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",410,"Rockaways",0,1971.04347826087
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",502,"Stapleton - St. George",0,2245
"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",504,"South Beach - Tottenville",0,2390
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",102,"Northeast Bronx",2.2,1688.42857142857
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",104,"Pelham - Throgs Neck",4.4,1627.22222222222
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",106,"High Bridge - Morrisania",19.7,1961
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",201,"Greenpoint",0.4,3339.96
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",203,"Bedford Stuyvesant - Crown Heights",0.9,2216.8
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",205,"Sunset Park",0.1,2145.12
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",207,"East Flatbush - Flatbush",2.3,2114.84
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",209,"Bensonhurst - Bay Ridge",1.7,2194
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",211,"Williamsburg - Bushwick",0.3,1976.83333333333
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",302,"Central Harlem - Morningside Heights",15.7,2737.28
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",304,"Upper West Side",99.7,3442.17391304348
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",306,"Chelsea - Clinton",67.4,3680.68
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",308,"Greenwich Village - SoHo",32.9,4011.41666666667
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",310,"Lower Manhattan",13.7,3503.16666666667
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",402,"West Queens",2.3,2005.36
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",404,"Bayside - Little Neck",1.6,2005.36
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",406,"Fresh Meadows",4.3,2032.29166666667
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",408,"Jamaica",0.5,1801.04
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",410,"Rockaways",0,1971.04347826087
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",502,"Stapleton - St. George",0.4,2245
"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",504,"South Beach - Tottenville",0,2390
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",102,"Northeast Bronx",1.1,1688.42857142857
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",104,"Pelham - Throgs Neck",1.2,1627.22222222222
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",106,"High Bridge - Morrisania",1.5,1961
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",201,"Greenpoint",1.4,3339.96
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",203,"Bedford Stuyvesant - Crown Heights",1.1,2216.8
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",205,"Sunset Park",1.2,2145.12
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",207,"East Flatbush - Flatbush",1,2114.84
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",209,"Bensonhurst - Bay Ridge",1,2194
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",211,"Williamsburg - Bushwick",1.2,1976.83333333333
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",201,"Greenpoint",11.4,3339.96
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",303,"East Harlem",1.4,2567.32
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",305,"Upper East Side",1.5,3399.96
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",307,"Gramercy Park - Murray Hill",1.8,3778.28
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",309,"Union Square - Lower East Side",1.6,3967.64
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",401,"Long Island City - Astoria",1.3,2668.53846153846
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",403,"Flushing - Clearview",1,2199.61538461538
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",405,"Ridgewood - Forest Hills",1,2051.53846153846
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",407,"Southwest Queens",1,2130.45454545455
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",409,"Southeast Queens",0.9,2535.11538461538
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",501,"Port Richmond",0.9,1800
"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",503,"Willowbrook",0.9,1593
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",101,"Kingsbridge - Riverdale",10.1,2225.6
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",103,"Fordham - Bronx Pk",11,1659.28571428571
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",105,"Crotona -Tremont",12.1,1688.42857142857
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",107,"Hunts Point - Mott Haven",10.9,1688.42857142857
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",203,"Bedford Stuyvesant - Crown Heights",10.7,2216.8
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",205,"Sunset Park",10.5,2145.12
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",207,"East Flatbush - Flatbush",10.4,2114.84
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",209,"Bensonhurst - Bay Ridge",9.7,2194
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",211,"Williamsburg - Bushwick",11.1,1976.83333333333
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",302,"Central Harlem - Morningside Heights",10.8,2737.28
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",304,"Upper West Side",11.8,3442.17391304348
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",306,"Chelsea - Clinton",14,3680.68
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",308,"Greenwich Village - SoHo",12.6,4011.41666666667
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",310,"Lower Manhattan",12.3,3503.16666666667
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",402,"West Queens",10.6,2005.36
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",404,"Bayside - Little Neck",9.3,2005.36
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",406,"Fresh Meadows",9.5,2032.29166666667
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",408,"Jamaica",9.7,1801.04
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",410,"Rockaways",8.9,1971.04347826087
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",502,"Stapleton - St. George",9.2,2245
"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",504,"South Beach - Tottenville",9,2390
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",102,"Northeast Bronx",19.1,1688.42857142857
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",104,"Pelham - Throgs Neck",23,1627.22222222222
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",106,"High Bridge - Morrisania",28.7,1961
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",201,"Greenpoint",29.6,3339.96
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",203,"Bedford Stuyvesant - Crown Heights",29.8,2216.8
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",205,"Sunset Park",24.2,2145.12
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",207,"East Flatbush - Flatbush",26.5,2114.84
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",209,"Bensonhurst - Bay Ridge",20.6,2194
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",211,"Williamsburg - Bushwick",28.3,1976.83333333333
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",302,"Central Harlem - Morningside Heights",27.2,2737.28
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",304,"Upper West Side",37.8,3442.17391304348
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",306,"Chelsea - Clinton",53.6,3680.68
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",308,"Greenwich Village - SoHo",49.6,4011.41666666667
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",310,"Lower Manhattan",34.6,3503.16666666667
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",402,"West Queens",28.8,2005.36
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",404,"Bayside - Little Neck",19.1,2005.36
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",406,"Fresh Meadows",23.3,2032.29166666667
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",408,"Jamaica",26,1801.04
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",410,"Rockaways",16,1971.04347826087
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",502,"Stapleton - St. George",15.5,2245
"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",504,"South Beach - Tottenville",13.5,2390
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",102,"Northeast Bronx",21.3,1688.42857142857
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",104,"Pelham - Throgs Neck",21.6,1627.22222222222
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",106,"High Bridge - Morrisania",26.8,1961
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",201,"Greenpoint",25.9,3339.96
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",203,"Bedford Stuyvesant - Crown Heights",26.3,2216.8
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",205,"Sunset Park",23.8,2145.12
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",207,"East Flatbush - Flatbush",24.7,2114.84
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",209,"Bensonhurst - Bay Ridge",23.3,2194
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",211,"Williamsburg - Bushwick",26.3,1976.83333333333
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",302,"Central Harlem - Morningside Heights",27.8,2737.28
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",304,"Upper West Side",29.3,3442.17391304348
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",306,"Chelsea - Clinton",38.2,3680.68
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",308,"Greenwich Village - SoHo",32.6,4011.41666666667
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",310,"Lower Manhattan",34.8,3503.16666666667
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",402,"West Queens",24.9,2005.36
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",404,"Bayside - Little Neck",19.2,2005.36
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",406,"Fresh Meadows",21.6,2032.29166666667
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",408,"Jamaica",22.8,1801.04
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",410,"Rockaways",18.8,1971.04347826087
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",502,"Stapleton - St. George",17.8,2245
"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",504,"South Beach - Tottenville",15.7,2390
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",102,"Northeast Bronx",28.6,1688.42857142857
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",104,"Pelham - Throgs Neck",28.7,1627.22222222222
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",106,"High Bridge - Morrisania",26.3,1961
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",201,"Greenpoint",27.1,3339.96
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",203,"Bedford Stuyvesant - Crown Heights",26.4,2216.8
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",205,"Sunset Park",27.7,2145.12
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",207,"East Flatbush - Flatbush",27.1,2114.84
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",209,"Bensonhurst - Bay Ridge",28,2194
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",211,"Williamsburg - Bushwick",26.6,1976.83333333333
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",302,"Central Harlem - Morningside Heights",25.4,2737.28
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",304,"Upper West Side",24.4,3442.17391304348
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",306,"Chelsea - Clinton",21.3,3680.68
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",308,"Greenwich Village - SoHo",23.8,4011.41666666667
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",310,"Lower Manhattan",22.7,3503.16666666667
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",402,"West Queens",27.3,2005.36
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",404,"Bayside - Little Neck",28.5,2005.36
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",406,"Fresh Meadows",28,2032.29166666667
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",408,"Jamaica",27.8,1801.04
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",410,"Rockaways",30.5,1971.04347826087
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",502,"Stapleton - St. George",29.4,2245
"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",504,"South Beach - Tottenville",30.3,2390
"Neighborhood Air Quality Concentrations: Sulfur Dioxide (SO2)","Average Concentration","UHF42",102,"Northeast Bronx",4.8,1688.42857142857
"Neighborhood Air Quality Concentrations: Sulfur Dioxide (SO2)","Average Concentration","UHF42",104,"Pelham - Throgs Neck",4.8,1627.22222222222
"Neighborhood Air Quality Concentrations: Sulfur Dioxide (SO2)","Average Concentration","UHF42",106,"High Bridge - Morrisania",7.5,1961
"Neighborhood Air Quality Concentrations: Sulfur Dioxide (SO2)","Average Concentration","UHF42",201,"Greenpoint",4.2,3339.96
"Neighborhood Air Quality Concentrations: Sulfur Dioxide (SO2)","Average Concentration","UHF42",203,"Bedford Stuyvesant - Crown Heights",4.1,2216.8
"Neighborhood Air Quality Concentrations: Sulfur Dioxide (SO2)","Average Concentration","UHF42",205,"Sunset Park",3.4,2145.12
"Neighborhood Air Quality Concentrations: Sulfur Dioxide (SO2)","Average Concentration","UHF42",207,"East Flatbush - Flatbush",4.2,2114.84
"Neighborhood Air Quality Concentrations: Sulfur Dioxide (SO2)","Average Concentration","UHF42",209,"Bensonhurst - Bay Ridge",3.3,2194
"Neighborhood Air Quality Concentrations: Sulfur Dioxide (SO2)","Average Concentration","UHF42",211,"Williamsburg - Bushwick",4.3,1976.83333333333
"Neighborhood Air Quality Concentrations: Sulfur Dioxide (SO2)","Average Concentration","UHF42",302,"Central Harlem - Morningside Heights",6.7,2737.28
"Neighborhood Air Quality Concentrations: Sulfur Dioxide (SO2)","Average Concentration","UHF42",304,"Upper West Side",8.2,3442.17391304348
